Col1,Col2,Col3,X,Y
Col1-0005,Col2-0002,Col3-080,27014.60111,36091.42936
Col1-0005,Col2-0002,Col3-028,42613.30125,23104.29084
Col1-0005,Col2-0002,Col3-081,122480.4188,73821.36438
Col1-0005,Col2-0002,Col3-017,42355.59545,76898.48513
Col1-0005,Col2-0002,Col3-082,74389.6425,58584.67852
Col1-0005,Col2-0002,Col3-083,114335.1437,34619.87562
Col1-0005,Col2-0002,Col3-084,17399.06155,57825.20593
Col1-0005,Col2-0002,Col3-032,112689.1757,53459.66849
Col1-0005,Col2-0002,Col3-085,60373.38777,38974.02573
Col1-0005,Col2-0002,Col3-086,78341.74966,17766.59596
Col1-0005,Col2-0002,Col3-087,33073.07529,24683.38993
Col1-0005,Col2-0002,Col3-088,9110.406877,63580.78326
Col1-0005,Col2-0002,Col3-034,58674.70757,7049.022633
Col1-0005,Col2-0002,Col3-089,87579.15218,49165.49623
Col1-0005,Col2-0002,Col3-007,88264.08795,59866.61981
Col1-0005,Col2-0002,Col3-090,120727.2365,16012.2847
Col1-0005,Col2-0002,Col3-038,51986.36214,28496.02137
Col1-0005,Col2-0002,Col3-091,18964.96537,18934.35951
Col1-0005,Col2-0002,Col3-092,54454.69566,20379.30831
Col1-0005,Col2-0002,Col3-093,83253.05398,7217.396106
Col1-0005,Col2-0002,Col3-040,54126.60536,42257.2728
Col1-0005,Col2-0002,Col3-094,4779.2261,61472.15827
Col1-0005,Col2-0002,Col3-020,66603.34305,68235.95982
Col1-0005,Col2-0002,Col3-095,103892.9962,6820.592958
Col1-0005,Col2-0002,Col3-096,111033.4449,76779.21377
Col1-0005,Col2-0002,Col3-097,117572.396,71585.35316
Col1-0005,Col2-0002,Col3-044,88209.0887,1904.268392
Col1-0005,Col2-0002,Col3-098,71295.95796,18301.41023
Col1-0005,Col2-0002,Col3-099,56938.46989,60626.01137
Col1-0005,Col2-0002,Col3-100,110508.5596,76302.95199
Col1-0005,Col2-0002,Col3-101,42819.80953,71267.38607
Col1-0005,Col2-0002,Col3-046,121285.5336,70910.25178
Col1-0005,Col2-0002,Col3-102,66759.43647,19880.62249
Col1-0005,Col2-0002,Col3-103,102281.4384,49644.19554
Col1-0005,Col2-0002,Col3-022,62668.58159,63759.55806
Col1-0005,Col2-0002,Col3-104,20594.1243,62327.2415
Col1-0005,Col2-0002,Col3-105,61382.7057,56587.92843
Col1-0005,Col2-0002,Col3-106,86599.99005,45721.36876
Col1-0005,Col2-0002,Col3-107,43413.03726,60154.3256
Col1-0005,Col2-0002,Col3-108,99942.38025,70348.77033
Col1-0005,Col2-0002,Col3-049,51571.81498,59646.80791
Col1-0005,Col2-0002,Col3-109,75446.24612,65919.49567
Col1-0005,Col2-0002,Col3-110,21265.5634,72009.19616
Col1-0005,Col2-0002,Col3-111,60128.98075,58644.34936
Col1-0005,Col2-0002,Col3-112,69219.21415,75383.76475
Col1-0005,Col2-0002,Col3-113,59434.69376,13978.96949
Col1-0005,Col2-0002,Col3-114,42346.01066,2691.41647
Col1-0005,Col2-0002,Col3-115,5445.880998,23360.51581
Col1-0005,Col2-0002,Col3-116,60673.1027,74858.96754
Col1-0005,Col2-0002,Col3-117,30577.74478,34907.29261
Col1-0005,Col2-0002,Col3-118,13524.35851,14739.30714
Col1-0005,Col2-0094,Col3-011,92766.88819,49764.38867
Col1-0005,Col2-0095,Col3-119,95103.23629,28009.02237
Col1-0005,Col2-0096,Col3-120,103698.9526,7888.902101
Col1-0005,Col2-0097,Col3-120,38833.49154,70236.31467
Col1-0005,Col2-0098,Col3-121,73098.60651,26991.37645
Col1-0005,Col2-0099,Col3-121,97320.7646,76967.0423
Col1-0005,Col2-0100,Col3-122,107895.0901,50137.09877
Col1-0005,Col2-0100,Col3-123,32919.42786,5801.865187
Col1-0005,Col2-0100,Col3-124,75154.8037,71199.1697
Col1-0005,Col2-0100,Col3-125,83315.5803,73206.11969
Col1-0005,Col2-0100,Col3-126,58978.07743,34124.99385
Col1-0005,Col2-0029,Col3-127,51543.50129,37094.26284
Col1-0005,Col2-0002,Col3-128,99519.15506,30861.5649
Col1-0005,Col2-0002,Col3-129,99968.80442,16130.62129
Col1-0005,Col2-0002,Col3-130,44761.25234,37635.49964
Col1-0005,Col2-0002,Col3-131,27033.08428,4130.205856
Col1-0005,Col2-0002,Col3-132,18718.8596,21816.97166
Col1-0005,Col2-0002,Col3-133,73530.5783,45133.81448
Col1-0005,Col2-0002,Col3-134,109436.959,13579.29546
Col1-0005,Col2-0002,Col3-135,84503.63624,25289.74626
Col1-0005,Col2-0002,Col3-136,109081.039,21790.51649
Col1-0005,Col2-0002,Col3-137,14692.00408,54931.47819
Col1-0005,Col2-0002,Col3-138,100930.28,33350.05205
Col1-0005,Col2-0002,Col3-139,83084.37494,74090.04268
Col1-0005,Col2-0002,Col3-140,59758.9808,20963.85768
Col1-0005,Col2-0002,Col3-141,41717.40299,78662.61523
Col1-0005,Col2-0002,Col3-142,55144.2465,66881.30566
Col1-0005,Col2-0002,Col3-143,34689.05463,53792.22108
Col1-0005,Col2-0002,Col3-144,16515.42442,62063.6345
Col1-0005,Col2-0002,Col3-145,80079.35983,76428.34683
Col1-0005,Col2-0002,Col3-146,25049.70466,56588.05366
Col1-0005,Col2-0002,Col3-147,21770.21519,66261.90277
Col1-0005,Col2-0002,Col3-148,3138.033233,46477.53471
Col1-0005,Col2-0002,Col3-149,32435.39224,49099.28991
Col1-0005,Col2-0002,Col3-150,2515.601769,44138.12389
Col1-0005,Col2-0002,Col3-151,88363.88912,43193.61105
Col1-0005,Col2-0002,Col3-152,33665.35249,48171.65281
Col1-0005,Col2-0002,Col3-153,94273.20095,42753.15559
Col1-0005,Col2-0002,Col3-154,9511.321921,8505.699293
Col1-0005,Col2-0002,Col3-155,2261.448422,52440.28511
Col1-0005,Col2-0002,Col3-156,38927.85229,28192.79712
Col1-0005,Col2-0002,Col3-157,120363.3445,35321.08676
Col1-0005,Col2-0002,Col3-158,5681.584411,46482.42465
Col1-0005,Col2-0002,Col3-159,46077.09563,76586.13609
Col1-0005,Col2-0002,Col3-160,94096.94368,777.4619318
Col1-0005,Col2-0002,Col3-161,8376.598265,4295.201307
Col1-0005,Col2-0002,Col3-162,76391.22841,28241.38339
Col1-0005,Col2-0002,Col3-163,65616.81026,34471.44138
Col1-0005,Col2-0002,Col3-164,73177.19213,9684.321933
Col1-0005,Col2-0101,Col3-165,92100.36712,36141.68786
Col1-0005,Col2-0101,Col3-166,119015.2237,66616.9364
Col1-0005,Col2-0102,Col3-027,71399.09626,42057.3229
Col1-0005,Col2-0103,Col3-167,95624.29682,63834.26268
Col1-0005,Col2-0104,Col3-167,102044.0542,14558.73281
Col1-0005,Col2-0105,Col3-168,110482.2991,18859.5621
Col1-0005,Col2-0106,Col3-168,25407.72772,3960.677703
Col1-0005,Col2-0105,Col3-169,116400.0843,24509.64265
Col1-0005,Col2-0106,Col3-169,123237.2363,18716.4073
Col1-0005,Col2-0105,Col3-170,77476.63811,60295.42312
Col1-0005,Col2-0106,Col3-170,121258.4053,76117.24656
Col1-0005,Col2-0001,Col3-019,52050.69519,165.5268756
Col1-0005,Col2-0107,Col3-171,22442.51694,4311.631667
Col1-0005,Col2-0108,Col3-171,15931.04564,2649.620783
Col1-0005,Col2-0109,Col3-172,64611.25298,70368.70803
Col1-0005,Col2-0109,Col3-173,8167.461353,5248.483703
Col1-0005,Col2-0109,Col3-174,110801.8393,65541.71413
Col1-0005,Col2-0109,Col3-175,49955.48255,50781.02392
Col1-0005,Col2-0110,Col3-167,37664.9236,5448.3729
Col1-0005,Col2-0111,Col3-026,85536.58452,3355.782609
Col1-0005,Col2-0112,Col3-026,16402.80007,9627.991757
Col1-0005,Col2-0113,Col3-012,60853.49717,40425.93953
Col1-0005,Col2-0114,Col3-012,2256.136654,1704.549396
Col1-0005,Col2-0115,Col3-176,7519.991148,34444.33418
Col1-0005,Col2-0115,Col3-177,96094.14441,5934.872585
Col1-0005,Col2-0115,Col3-172,113516.0815,70064.87503
Col1-0005,Col2-0115,Col3-178,116265.3378,37381.86425
Col1-0005,Col2-0115,Col3-179,96293.30305,46.71523808
Col1-0005,Col2-0116,Col3-180,11012.16344,30107.31952
Col1-0005,Col2-0117,Col3-176,62882.4644,26382.2859
Col1-0005,Col2-0118,Col3-181,29.50295767,7004.184679
Col1-0005,Col2-0119,Col3-181,46995.36654,53236.2932
Col1-0005,Col2-0120,Col3-181,114731.7725,73122.80736
Col1-0005,Col2-0121,Col3-182,64032.83755,19280.06386
Col1-0005,Col2-0121,Col3-183,47982.53334,68710.36918
Col1-0005,Col2-0121,Col3-184,64714.45144,79701.82473
Col1-0005,Col2-0121,Col3-185,22142.35348,56558.46226
Col1-0005,Col2-0121,Col3-186,10926.66709,27573.42945
Col1-0005,Col2-0121,Col3-187,79107.69119,71553.6229
Col1-0005,Col2-0121,Col3-174,78560.22315,44598.96918
Col1-0005,Col2-0121,Col3-188,23397.69588,1375.544374
Col1-0005,Col2-0121,Col3-189,98796.36416,48364.61926
Col1-0005,Col2-0121,Col3-190,38929.60474,44921.99641
Col1-0005,Col2-0121,Col3-191,12557.74614,43686.87703
Col1-0005,Col2-0121,Col3-192,106894.2693,8246.764673
Col1-0005,Col2-0121,Col3-193,90788.53496,6741.995086
Col1-0005,Col2-0121,Col3-180,104432.5721,31401.30127
Col1-0005,Col2-0121,Col3-194,122166.3273,47804.08059
Col1-0005,Col2-0121,Col3-195,109850.6203,24533.8811
Col1-0005,Col2-0121,Col3-196,120544.0753,47018.68591
Col1-0005,Col2-0121,Col3-197,77126.24372,11416.87666
Col1-0005,Col2-0121,Col3-198,57187.64414,57256.5489
Col1-0005,Col2-0121,Col3-199,96306.66747,69764.96173
Col1-0005,Col2-0121,Col3-200,121408.4484,71829.57734
Col1-0005,Col2-0121,Col3-201,114608.6838,49216.75902
Col1-0005,Col2-0121,Col3-202,12699.56204,9877.207343
Col1-0005,Col2-0122,Col3-203,9129.097948,6871.142002
Col1-0005,Col2-0122,Col3-183,88216.57301,48993.02094
Col1-0005,Col2-0122,Col3-192,80206.4389,26452.55217
Col1-0005,Col2-0122,Col3-175,49791.09708,5992.709225
Col1-0005,Col2-0122,Col3-204,8612.393301,14443.63787
Col1-0005,Col2-0122,Col3-205,82599.8829,53721.24043
Col1-0005,Col2-0123,Col3-027,86614.54366,27155.11653
Col1-0005,Col2-0124,Col3-027,4618.726957,53961.68915
Col1-0005,Col2-0125,Col3-027,64386.67546,33980.50905
Col1-0005,Col2-0126,Col3-027,53334.24784,56924.46536
Col1-0005,Col2-0127,Col3-027,22786.88649,21786.46577
Col1-0005,Col2-0128,Col3-027,36049.45947,57634.59419
Col1-0005,Col2-0129,Col3-026,70580.8678,15544.53268
Col1-0005,Col2-0002,Col3-206,60654.65704,29886.27914
Col1-0005,Col2-0101,Col3-094,88068.29544,20561.56428
Col1-0005,Col2-0105,Col3-207,41542.95695,1239.249375
Col1-0005,Col2-0106,Col3-207,105930.0966,1293.759699
Col1-0005,Col2-0105,Col3-184,78283.43292,68212.85865
Col1-0005,Col2-0106,Col3-184,16699.98549,13421.69591
Col1-0005,Col2-0001,Col3-042,86534.73649,19125.83013
Col1-0005,Col2-0118,Col3-208,49127.72145,10357.77908
Col1-0005,Col2-0119,Col3-208,9072.424197,42890.21552
Col1-0005,Col2-0120,Col3-208,50878.55969,23695.34791
Col1-0005,Col2-0021,Col3-209,20258.28761,12993.23029
Col1-0005,Col2-0031,Col3-209,74152.96343,45033.02857
Col1-0005,Col2-0021,Col3-210,30037.19266,17766.66186
Col1-0005,Col2-0031,Col3-210,74746.45305,7377.566132
Col1-0005,Col2-0021,Col3-055,68123.7521,39650.52919
Col1-0005,Col2-0031,Col3-055,85681.47779,46368.93804
Col1-0005,Col2-0021,Col3-211,102984.5714,7479.495095
Col1-0005,Col2-0031,Col3-211,39139.8167,16828.47446
Col1-0005,Col2-0021,Col3-212,221.099091,31534.21373
Col1-0005,Col2-0031,Col3-212,104883.7461,48211.1165
Col1-0005,Col2-0021,Col3-213,84838.5192,21306.92367
Col1-0005,Col2-0031,Col3-213,21073.54056,29637.81025
Col1-0005,Col2-0021,Col3-076,66936.28611,36862.00553
Col1-0005,Col2-0031,Col3-076,90645.42867,72596.96466
Col1-0005,Col2-0021,Col3-003,123925.2235,73146.98148
Col1-0005,Col2-0031,Col3-003,91813.18227,50229.62771
Col1-0005,Col2-0021,Col3-214,42182.85413,38682.31532
Col1-0005,Col2-0031,Col3-214,121177.3984,9161.027413
Col1-0005,Col2-0021,Col3-215,67554.46744,77961.3653
Col1-0005,Col2-0031,Col3-215,41326.83701,869.0530917
Col1-0005,Col2-0021,Col3-079,9188.282567,73725.56912
Col1-0005,Col2-0031,Col3-079,7020.164097,58289.37544
Col1-0005,Col2-0021,Col3-216,65728.19595,35034.68928
Col1-0005,Col2-0031,Col3-216,11588.86153,23974.90741
Col1-0005,Col2-0021,Col3-217,39642.24061,15349.46751
Col1-0005,Col2-0031,Col3-217,65037.83344,64025.38188
Col1-0005,Col2-0021,Col3-088,106825.6699,4629.100149
Col1-0005,Col2-0031,Col3-088,106316.6609,78.55106286
Col1-0005,Col2-0021,Col3-086,70274.25348,20529.75243
Col1-0005,Col2-0031,Col3-086,42774.38489,46261.72583
Col1-0005,Col2-0021,Col3-218,39768.81261,68718.11688
Col1-0005,Col2-0031,Col3-218,107077.9248,59687.30491
Col1-0005,Col2-0021,Col3-089,93891.27563,14851.24459
Col1-0005,Col2-0031,Col3-089,74048.86845,61973.33263
Col1-0005,Col2-0021,Col3-219,103761.7454,44197.05274
Col1-0005,Col2-0031,Col3-219,94212.25607,61691.56561
Col1-0005,Col2-0021,Col3-220,30975.60705,55359.34025
Col1-0005,Col2-0031,Col3-220,108591.4712,61972.9356
Col1-0005,Col2-0021,Col3-221,37692.89338,73020.18921
Col1-0005,Col2-0031,Col3-221,2233.923275,10842.3718
Col1-0005,Col2-0021,Col3-166,79077.07927,58567.34518
Col1-0005,Col2-0031,Col3-166,53211.74954,2846.527625
Col1-0005,Col2-0021,Col3-094,114399.7757,50733.47108
Col1-0005,Col2-0031,Col3-094,50385.99131,29303.01106
Col1-0005,Col2-0021,Col3-042,120018.7422,35394.22805
Col1-0005,Col2-0031,Col3-042,30279.22524,73713.69029
Col1-0005,Col2-0021,Col3-222,10484.02303,36533.85031
Col1-0005,Col2-0031,Col3-222,123326.4393,15466.68581
Col1-0005,Col2-0021,Col3-096,78535.8547,38653.69185
Col1-0005,Col2-0031,Col3-096,74946.82457,46227.14105
Col1-0005,Col2-0021,Col3-104,66657.67901,16793.96592
Col1-0005,Col2-0031,Col3-104,102427.719,36833.474
Col1-0005,Col2-0021,Col3-223,38961.47887,30693.40619
Col1-0005,Col2-0031,Col3-223,12284.12614,69543.03198
Col1-0005,Col2-0021,Col3-105,38892.56617,65542.5738
Col1-0005,Col2-0031,Col3-105,64926.61938,44528.76814
Col1-0005,Col2-0021,Col3-224,8719.518575,5554.779694
Col1-0005,Col2-0031,Col3-224,102942.9867,26111.11315
Col1-0005,Col2-0021,Col3-225,10177.36443,23725.72435
Col1-0005,Col2-0031,Col3-225,80247.81131,52399.88163
Col1-0005,Col2-0021,Col3-226,43070.98535,75429.94737
Col1-0005,Col2-0031,Col3-226,60163.49328,11014.4112
Col1-0005,Col2-0021,Col3-227,87565.26601,41347.84054
Col1-0005,Col2-0031,Col3-227,41189.20439,43913.43185
Col1-0005,Col2-0021,Col3-228,66864.21553,19439.03744
Col1-0005,Col2-0031,Col3-228,43561.00126,51893.22376
Col1-0005,Col2-0021,Col3-113,82300.60892,54482.21645
Col1-0005,Col2-0031,Col3-113,56927.32051,55506.58138
Col1-0005,Col2-0021,Col3-229,104249.2842,72845.75025
Col1-0005,Col2-0031,Col3-229,111621.6987,38750.78463
Col1-0005,Col2-0021,Col3-230,71773.9884,43159.19711
Col1-0005,Col2-0031,Col3-230,10978.17546,3529.194078
Col1-0005,Col2-0130,Col3-010,58109.01468,65485.40076
Col1-0005,Col2-0131,Col3-010,69292.57477,45838.99476
Col1-0005,Col2-0132,Col3-010,95081.53527,65401.06338
Col1-0005,Col2-0133,Col3-010,107390.4036,42206.59321
Col1-0005,Col2-0134,Col3-011,22687.74321,10841.96001
